id;origin;destination;document_type
1;BILLS_OF_LADING;INTERNAL_DOCUMENTS;CLIENT_RETURN
2;GLOBAL_GUIDES;CREDIT_NOTES;PURCHASE_ORDER
3;WAYBILLS;ESTIMATES;CLIENT_RETURN
4;DEBIT_NOTES;SUPPLIER_PURCHASE_ORDER;PURCHASE_ORDER
5;SUPPLIER_INVOICES;INTERNAL_DOCUMENTS;WAREHOUSE_TRANSFER
6;INTERNAL_DOCUMENTS;CUSTOMER_RETURN_NOTE;WAREHOUSE_TRANSFER
7;BILLS_OF_LADING;DELIVERY_NOTES;CLIENT_RETURN
8;ESTIMATES;CUSTOMER_RETURN_NOTE;WAREHOUSE_TRANSFER
9;SIMPLIFIED_INVOICES;WAYBILLS;WAREHOUSE_TRANSFER
10;OWN_ASSETS_MOVEMENT_GUIDES;INVOICES;CLIENT_RETURN
